,page_path,inner_text,attr_class,attr_url
0,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-8T3W3S1
1,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-8T3W3S1
2,/para-voce/produtos-e-servicos/para-casa/internet,Monte Já,btn-orange hide-mobile,https://lojaonline.vivo.com.br/disponibilidade/consultar-endereco
3,/para-voce/produtos-e-servicos/para-casa/internet,Monte Já,btn-orange hide-desktop,https://lojaonline.vivo.com.br/disponibilidade/consultar-endereco
4,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-8T3W3S1&productId=9-1T2K89H
5,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-8T3W3S1&productId=9-1T2K89H
6,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-mobile,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=41&canaisadicionais=53&itensadicionais=11&promo=nacional_red
7,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-desktop,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=41&canaisadicionais=53&itensadicionais=11&lpmobile=true&promo=nacional_red
8,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-mobile,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=55&canaisadicionais=53&itensadicionais=11&promo=nacional_red
9,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-desktop,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=55&canaisadicionais=53&itensadicionais=11&lpmobile=true&promo=nacional_red
10,/para-voce/produtos-e-servicos/para-casa/internet,Monte Já,btn-orange hide-desktop,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade
11,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-92TVJSI&productId=9-8T3W3S1
12,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-92TVJSI&productId=9-8T3W3S1
13,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-CAZF221&productId=9-92VURU3&productId=9-8T3W3S1
14,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange,https://lojaonline.vivo.com.br/monte-seu-combo/disponibilidade?typecode=CHECKOUT&partnerCode=PortalVivo&productId=9-8SZRJJP&productId=9-92VURU3&productId=9-8T3W3S1
15,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-mobile,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=41&canaisadicionais=75&itensadicionais=11&promo=nacional_red
16,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-desktop,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpmobile=true&lpRedirect=true&ofertaInternet=41&canaisadicionais=75&itensadicionais=11&promo=nacional_red
17,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-mobile,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpRedirect=true&ofertaInternet=55&canaisadicionais=75&itensadicionais=11&promo=nacional_red
18,/para-voce/produtos-e-servicos/para-casa/internet,Assine já,btn-orange hide-desktop,http://compre.vivo.com.br/assine/Carrinho/Cadastro?monte=1&lpmobile=true&lpRedirect=true&ofertaInternet=55&canaisadicionais=75&promo=nacional_red
19,/para-voce/produtos-e-servicos/para-casa/tv,Assine já,btn-orange,https://www.vivo.com.br/para-voce/produtos-e-servicos/combos/combos#planos
20,/para-voce/produtos-e-servicos/para-casa/tv,Contratar,btn-orange   js-button,https://sslplataformavivol.clientes.ananke.com.br/cismp/asb_api/asb_chat/form-disponibilidade.html
21,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSAMAZON_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
22,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSGLOBO_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
23,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSSPOTI_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
24,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSNETFL_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
25,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSDISNEY_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
26,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSTELEC_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
27,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLPOSPREMI_NFCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
28,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,https://lojaonline.vivo.com.br/checkout-express/selecao?site=vivo&plan=PLIND12GB2019FCB&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
29,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,http://carrinho-pos-familia.vivo.com.br/?tipoOferta=pos&sku=VPOSF25DN&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
30,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,http://carrinho-pos-familia.vivo.com.br/?tipoOferta=pos&sku=VPOSF22DN&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
31,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,http://carrinho-pos-familia.vivo.com.br/?tipoOferta=pos&sku=VPOSF23DN&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
32,/para-voce/produtos-e-servicos/para-o-celular/planos-pos-pago,Assine já,btn-orange,http://carrinho-pos-familia.vivo.com.br/?tipoOferta=pos&sku=VPOSF24DN&id_origem_vivo=b2c-movel_portal-pos_cta_hub&origin=b2c-movel_portal-pos_cta_hub
